Review,Score
The hotel was fantastic! I had an amazing experience.,5
Terrible stay. The staff was rude and unhelpful.,2
Loved the location! The hotel was clean and comfortable.,4
The worst experience ever. Will never book again.,1
"Amazing service, very friendly staff, and great food.",5
Not worth the price. Rooms were small and noisy.,2
Best hotel I've stayed at! Highly recommended.,5
Mediocre at best. Could have been cleaner.,3
Very welcoming atmosphere. Will visit again.,4
"Horrible experience. Bed was uncomfortable, and food was bad.",1
